description,label,bridge
Natural mineral water bottling plant,11070,QSQSV
Soft drink makers,11070,QSQSW
Soft drinks factory,11070,QSQSX
Soft drinks production,11070,QSQSY
Malting,11060,QSQSZ
Tobacco manufacture,12000,QSQTQ
Spinning cotton industry,13100,QSQTR
Carpet yarn spinners woollen industry,13100,QSQTS
Sorting grading wool,13100,QSQTT
Spinners distributors of hand knitting yarn,13100,QSQTU
Woollen yarn spinners,13100,QSQTV
Woollen yarn spinning,13100,QSQTW
Yarn spinners woollen industry,13100,QSQTX
Worsted spinning,13100,QSQTY
Manufacture of tobacco products admin,12000,QSQTZ
Yarn throwsters,13100,QSQUQ
Woollen textile manufacture,13200,QSQUR
Worsted cloth manufacturers,13200,QSQUT
Bleacher dyers of cloth,13300,QSQUU
Bleaching and finishing,13300,QSQUV
Bleaching dyeing and finishing,13300,QSQUW
Commission dyers,13300,QSQUX
Commission dyers and finishers for the textile industry,13300,QSQUY
Flax spinners,13100,QSQUZ
Commission embroidery,13300,QSQVQ
Dyeing,13300,QSQVR
Dyeing and bleaching of cabinet roller towels,13300,QSQVS
Dyeing of textiles,13300,QSQVT
Dyeing yarn for carpets,13300,QSQVU
Embroidery,13300,QSQVV
Fabric dyers and finishers,13300,QSQVW
Commission dyers to the textile trade,13300,QSQVZ
Speciality fabric coating,13300,QSQWV
Textile coaters,13300,QSQWX
Textile coating proofing,13300,QSQWY
Merchanting and processing synthetic yarns for textile and industrial use,13300,QSQWZ
Treatment of fabric against fire,13300,QSQXR
Warp weft knitting dying finishing,13300,QSQXS
Yarn dyers,13300,QSQXT
Computerised embroidery onto garments,13300,QSQXU
Curtain makers,13921,QSQXV
Curtain making unit,13921,QSQXW
Curtain manufacture,13921,QSQXX
Furniture fillings and manufacture of quilts and pillows,13921,QSQXY
Manufacture and renovation of soft furnishings,13921,QSQYQ
Manufacture household filled products pillows,13921,QSQYR
Manufacture of bed linen from customers own fabric materials and trimmings,13921,QSQYS
Manufacture of conservatory blinds,13921,QSQYT
Manufacture of curtains and household textiles,13921,QSQYU
Manufacture of soft furnishings and mattresses,13921,QSQYV
Manufacture retail sale of window blinds,13921,QSQYW
Manufacturer of interior window blinds from curtain material,13921,QSQYX
Manufacturers of blinds curtains and net,13921,QSQYY
Manufacture and distribution of soft home furnishing,13921,QSQYZ
Distilling whisky,11010,QSQZQ
Malt whisky distillation and visitor centre,11010,QSQZR
Manufacture of distilled portable alcoholic beverages,11010,QSQZS
Manufacture of whiskey,11010,QSQZT
Maturation of scotch whisky,11010,QSQZU
Maturation of spirit,11010,QSQZV
Scotch whisky bottlers,11010,QSQZW
Scotch whisky distillers,11010,QSQZX
Whiskey distillers,11010,QSQZY
Distilling blending and marketing of scotch whisky,11010,QSQZZ
Manufacture of lorry tarpaulin canvas goods,13922,QSRQQ
Sail makers,13922,QSRQR
Tent marquee wagon cover manufacturer,13922,QSRQS
Baby bedding manufacturer,13923,QSRQT
Bedding factory,13923,QSRQU
Bedding manufacturers,13923,QSRQV
Blanket and woollen cloth manufacturers textiles,13923,QSRQW
Blanket manufacturers woollen industry,13923,QSRQX
Cushion case manufactured,13923,QSRQY
Manufacture of caravan awnings,13922,QSRQZ
Household toiletries textiles manufacturers,13923,QSRRQ
In flight blanket manufacture and cabin supplies,13923,QSRRR
Manufacture and sale of household textiles to the retail market duvets pillows,13923,QSRRS
Manufacture furnishings cushion covers chair pads,13923,QSRRT
Manufacture of mattress covers,13923,QSRRU
Manufacture of printed cotton tea towels and kitchen co ordinates,13923,QSRRV
Manufacture sleeping bags continental quilts,13923,QSRRW
Woollen weaving and manufacture of blankets throws,13923,QSRRX
Manufacture of tufted carpets and rugs plus all admin,13931,QSRRY
Hemming of household textiles,13923,QSRRZ
Manufacture of carpet pattern books,13990,QSRSQ
Manufacture of aviation netting camouflage under slung helicopter equipment,13940,QSRSR
Rope net manufacture,13940,QSRSS
Twine manufacture plus rope and netting,13940,QSRST
Manufacture of non-woven cloth,13950,QSRSU
Lace finishers,13990,QSRSV
Lace finishing,13990,QSRSW
Braid trimmings manufacturer,13990,QSRSX
Coach trimmings manufacture,13960,QSRSY
Woven tufted carpet manufacture,13931,QSRSZ
Textile ribbon and bow manufacturers,13990,QSRTQ
Weaving belts for use in food trade (manufacture),13990,QSRTR
Manufacturing of plastic coated textiles,13990,QSRTS
Needle felt manufactures for both dry and wet filtration,13990,QSRTT
Manufacture knitted socks hosiery goods,14310,QSRTU
Sock manufacturer,14310,QSRTV
Stockinette material manufacture,14310,QSRTW
Design and sale of knitted sweaters to multiple stores,14390,QSRTX
Knitwear factory,14390,QSRTY
Narrow fabric weaving finishing,13990,QSRTZ
Manufacture knitted outerwear,14390,QSRUQ
Manufacture of 100 per cent wool pullovers,14390,QSRUR
Manufacture of full fashioned knitwear,14390,QSRUS
Manufacture of knitted garments,14390,QSRUT
Manufacture of knitted pullovers cardigans and similar articles,14390,QSRUU
Manufacture of knitwear and leisurewear,14390,QSRUV
Manufacture of ladies knitwear,14390,QSRUW
Manufacturer of knitted jumpers and sweatshirts,14390,QSRUX
Manufacturing knitted pullovers,14390,QSRUY
Manufacture knitted clothing,14390,QSRUZ
Manufacture protective work wear clothing,14120,QSRVQ
Industrial garments manufacturer,14120,QSRVR
Manufacture and retail school uniforms,14120,QSRVS
Manufacture clean room work wear,14120,QSRVT
Manufacture of industrial overalls,14120,QSRVU
Manufacture of school wear,14120,QSRVV
Manufacturers of marine firemen outfits,14120,QSRVW
Manufacturers uniform and corporate wear,14120,QSRVX
Military tailors,14120,QSRVY
Leather garment manufacturer,14110,QSRVZ
Robe maker,14120,QSRWQ
Robe maker tailors,14120,QSRWR
Survival clothing service and repair,14120,QSRWS
Work wear manufacture,14120,QSRWT
Clothing manufacture shirts,14131,QSRWU
Gents clothing manufacture,14131,QSRWV
Manufacture of kilts,14131,QSRWW
Manufacture of mens clothes,14131,QSRWX
Manufacture of mens trousers,14131,QSRWY
Naval tailors,14120,QSRWZ
Manufacture of rugby shirts,14131,QSRXQ
Manufacture rugby jerseys,14131,QSRXR
Manufacturing tailors,14131,QSRXS
Childrens clothing manufacturer,14132,QSRXT
Childrens wear manufacturer,14132,QSRXU
Clothing manufacture,14132,QSRXV
Clothing manufacture and retailer,14132,QSRXW
Design manufacture and retail of womens clothing,14132,QSRXX
Dress makers,14132,QSRXY
Manufacture of menswear,14131,QSRXZ
Dress manufacturer,14132,QSRYQ
Dressmaking,14132,QSRYR
Ladies dress manufacturers,14132,QSRYT
Ladies fashion wear manufacture,14132,QSRYU
Ladies fashions manufacture,14132,QSRYV
Ladies garment manufacture,14132,QSRYW
Ladies outerwear light clothing manufacturer,14132,QSRYX
Ladies outerwear manufacturers,14132,QSRYY
Dress making,14132,QSRYZ
Manufacturing of soft furnishing,13921,QSRZQ
Manufacturer of curtains roller blinds,13921,QSRZS
Manufacture repair tarpaulins sacks bags,13921,QSRZT
Suite cushion manufacture,13921,QSRZU
Window blind manufacturer,13921,QSRZW
Maintenance of parachutes and associated equipment,33190,QSRZX
Make repair sails,13922,QSRZY
Manufactures fabric blinds,13921,QSRZZ
Manufacturers agent ladies fashions,14132,QSSQR
Manufacturers mens ladies clothing,14132,QSSQS
Manufacturers of ladies clothing,14132,QSSQT
Manufacturers of outdoor country clothing.,14132,QSSQU
Manufacturing fashion designers,14132,QSSQV
Retail sale and manufacturing of ladies fashions,14132,QSSQW
Weatherproof garment manufacturer,14132,QSSQX
Manufacture of shirts,14141,QSSQY
Manufacture of womens clothing,14132,QSSQZ
Blouse manufacture,14142,QSSRQ
Manufacture of childrens nightwear,14142,QSSRS
Manufacture of ladies lingerie and swimwear,14142,QSSRT
Manufacture of ladies nightwear,14142,QSSRU
Manufacture of thermal underwear,14142,QSSRV
Hat manufacture,14190,QSSRX
Manufacture horse riding hats,32990,QSSRY
Shirt makers,14141,QSSRZ
Cut making and trimming and manufacture of other clothing,14190,QSSSQ
Baby wear manufacturers,14190,QSSSR
Design and manufacture of childrens clothing,14190,QSSSS
Design and manufacture of lingerie swimwear and nightwear,14190,QSSST
Glove manufacture,14190,QSSSU
Handkerchief manufacture,14190,QSSSV
Manufacture of fabric hair accessories,14190,QSSSW
Manufacture of foundation garments and swimwear garments,14190,QSSSX
Manufacture of leather belts and other fashion accessories,14190,QSSSY
Cut and supply children clothing,14190,QSSSZ
Manufacturer of sports wear,14190,QSSTQ
Manufacturers of leisure wear,14190,QSSTR
Mens tie manufacture,14190,QSSTS
Sales office for neckwear manufacture,14190,QSSTT
Leather dressing,15110,QSSTU
Tanners leather dressers,15110,QSSTV
Tannery,15110,QSSTW
Tanning leather,15110,QSSTX
Manufacture of industrial leather goods,32990,QSSTY
Manufacture sports and leisurewear,14190,QSSTZ
Manufacturing of car roof top luggage boxes,15120,QSSUQ
Bespoke boot and shoe maker,15200,QSSUR
Footwear factory,15200,QSSUS
Manufacture of ladies leather shoes,15200,QSSUT
Manufacturing dance shoes,15200,QSSUU
Shoe upper closers,15200,QSSUV
Theatrical shoe manufacturer,15200,QSSUX
Manufacture of sawn timber forest products,16100,QSSUY
Master saddlers,15120,QSSUZ
Saw millers,16100,QSSVQ
Saw mills,16100,QSSVR
Sawing timber,16100,QSSVS
Sawmill,16100,QSSVT
Sawmill admin centre,16100,QSSVU
Sawn timber for fencing and packaging sawmill products,16100,QSSVV
Timber preservation,16100,QSSVW
Timber sawmill,16100,QSSVX
Timber treatment,16100,QSSVY
Saw mill timber,16100,QSSVZ
Treatment of wood,16100,QSSWQ
Treatment plant for treating timber with fire retardant,16100,QSSWR
Wood machining and lacquer finishing,16100,QSSWS
Wood sawmill,16100,QSSWT
Manufactures of veneer panels,16210,QSSWU
Manufacture fibreboard,16210,QSSWV
Manufacture of laminated board,16210,QSSWW
Manufacture of timber panel products,16210,QSSWX
Melamine faced chipboard manufacturers,16210,QSSWY
Timber treatment plant,16100,QSSWZ
Veneer sheets plywood laminboard particle board fibre board and other panel boards,16210,QSSXQ
Carpentry and joinery manufacture of wooden doors windows stairs,16230,QSSXR
Carpentry and joinery manufacturer,16230,QSSXS
Custom built joinery,16230,QSSXT
Cutting and spraying wood venetian blinds,16230,QSSXU
Joinery manufacture wood products window stairs doorframes,16230,QSSXV
Joinery manufacturers material used is wood,16230,QSSXW
Joinery manufacturers staircases mainly,16230,QSSXX
Joinery manufacturing,16230,QSSXY
Veneer sheets plywood laminate board particle board fibre board and other panels boards,16210,QSSXZ
Joinery shop making wooden doors windows staircases shelving,16230,QSSYQ
Joinery work manufacture various counter fitment,16230,QSSYS
Manufacture and sale of log cabins,16230,QSSYU
Manufacture and sales of timber frame housing,16230,QSSYV
Manufacture of builders carpentry and joinery,16230,QSSYW
Manufacture of building materials for carpentry and joinery,16230,QSSYX
Manufacture of sectional buildings timber,16230,QSSYY
Joinery production,16230,QSSYZ
Manufacture and retail of childrens clothing,14132,QSSZQ
Manufacture and retail of silk bridal gowns,14132,QSSZR
Manufacture and wholesale of ladies clothing,14132,QSSZS
Manufacture bridal wear,14132,QSSZT
Manufacture of high quality ladies kilted pleated skirts highland dress,14132,QSSZU
Manufacture of men ladies and children clothing,14132,QSSZV
Manufacture of men s ladies and childrens fashion wear,14132,QSSZW
Manufacture of outdoor waterproof clothing and leisurewear,14132,QSSZX
Manufacture of outerwear clothing for men women and children,14132,QSSZY
Making costumes for operas,14132,QSSZZ
Manufacture of woven wood blinds,16230,QSTQQ
Manufacture timber component roof structures,16230,QSTQS
Manufacture timber conservatories,16230,QSTQT
Manufacture timber frame house kits and house builder,16230,QSTQU
Manufacture timber roof trusses,16230,QSTQV
Manufacture timbers garden buildings,16230,QSTQW
Manufactured joinery,16230,QSTQX
Manufacture of wooden sheds,16230,QSTQZ
Manufacturers of timber frame buildings,16230,QSTRQ
Manufacturers of timber garden buildings to the trade,16230,QSTRR
Manufacturers of timber sheds,16230,QSTRT
Manufacturing of all types of joinery work including wooden doors and window,16230,QSTRU
Manufacturing purpose made builders joinery of wood,16230,QSTRV
Manufacturing wooden doors windows stairs,16230,QSTRW
Stable and sectional timber building manufacturers,16230,QSTRY
Manufacturers of specialised joinery,16230,QSTRZ
Timber window manufacturer,16230,QSTSQ
Wooden joinery,16230,QSTSR
Woodworking decking,16230,QSTSS
Joinery manufacture and installation,16230,QSTST
Box pallet making,16240,QSTSU
Cooperage,16240,QSTSV
Coopers,16240,QSTSW
Manufacture of timber packaging,16240,QSTSX
Manufacture of wooden pallets and cases,16240,QSTSY
Timber frame manufacture,16230,QSTSZ
Refurbishment of wooden pallets,33190,QSTTQ
Repair of wooden cable drums,33190,QSTTR
Repairers of wooden pallets,33190,QSTTS
Wooden packing case manufacture,16240,QSTTT
Framed mirror manufacturers,16290,QSTTU
Framing and putting glass onto pictures,16290,QSTTV
Manufacture of mdf carcass for leisure arcade machines,16290,QSTTW
Manufacture of wood products,16290,QSTTX
Manufacture of wooden salt and pepper mills,16290,QSTTY
Manufacture wooden boxes crates pallets,16240,QSTTZ
Manufacturing wooden signs display items,16290,QSTUQ
Picture frame manufacturer and wholesaler in wood and plastic,16290,QSTUR
Wood turner,16290,QSTUS
Wood turning,16290,QSTUT
Picture framing workshop,16290,QSTUU
Manufacture of cardboard edge protection,17120,QSTUV
Manufacture of metallic paper,17120,QSTUW
Manufacture paper for use in the packaging industry,17120,QSTUX
Paper maker,17120,QSTUY
Manufacturers of silk screen printed wooden military plaques,16290,QSTUZ
Printing paper,17120,QSTVQ
Printing paper card,17120,QSTVR
Specialist paper manufacture,17120,QSTVS
Cardboard packaging manufacture using corrugated board,17211,QSTVT
Man of paper sacks,17211,QSTVU
Manufacture of corrugated cardboard products,17211,QSTVV
Manufacture of paper sacks,17211,QSTVW
Manufacturer of corrugated cardboard sheet,17211,QSTVX
Corrugated case makers,17219,QSTVY
Paper production,17120,QSTVZ
Corrugated fibreboard packaging manufacture,17219,QSTWQ
Corrugated packaging manufacturers,17219,QSTWR
Manufacture corrugated trays mainly for the food industry,17219,QSTWS
Manufacture of corrugate cases,17219,QSTWU
Manufacture of corrugated boxes,17219,QSTWV
Manufacture of corrugated cardboard cartons,17219,QSTWW
Manufacture of corrugated carton packaging,17219,QSTWX
Manufacture of corrugated cartons and boxes,17219,QSTWY
Corrugated fibre board packaging,17219,QSTWZ
Manufacture of corrugated fibreboard containers,17219,QSTXQ
Printed carton manufacturers,17219,QSTXR
Manufacture of non corrugated cartons boxes,17219,QSTXS
Manufacturer of cardboard plain and printed cartons and other cardboard product,17219,QSTXT
